Teller,Lijsten,LijstIDs,LijstID,MainID,VraagID,Hierarchy,Recur,L_Inactief,V_Inactief,L_Herhaalbaar,V_Herhaalbaar,VTrigger,TreelayID,isTriggered,CHILDID,ONZZANTW,TYPE,STELLING,METADATA,KORTEOMS,STATOMSCHR,PROTOCOL,CONTROLID,NAAM,KEUZELIJST,CATEGORIE,VERVALLEN,BVT_TRIGG,BRON_PROTOCOL,BRON_REFER_PROTOCOL,VERSIE_PROTOCOL,DEFINITIE_PROTOCOL,VRIJE_CODE_PROTOCOL,LSTOBJPD,BEREKENING,HERHAALBAA,BVT_WIZAC,I_LijstID,ValidFrom_UTC_x,ValidTo_UTC_x
3,Metabole Diagnostiek (basis- en enzymdiagnostiek)(S);,1000001584,1000001584,1000001584,1000005400,20000219381000005400,1,0,1,0,0,,2000021938,,1000005400,0,V,Kopiehouder,NULL,kopie_Kopiehouder,Kopiehouder,,0000000012,Gegevens keuzelijst,,KLG,1,0,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
5,Metabole Diagnostiek (basis- en enzymdiagnostiek)(S);,1000001584,1000001584,1000001584,1000005401,20000219391000005401,1,0,1,0,0,,2000021939,,1000005401,1,V,Materiaal,NULL,Materiaal,Materiaal,,0000000001,Memo,,KLG,0,0,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
9,Metabole Diagnostiek (basis- en enzymdiagnostiek)(S);,1000001584,1000001584,1000001584,1000005402,20000219401000005402,1,0,0,0,0,,2000021940,,1000005402,0,V,Datum afname,NULL,afname_datum,Datum afname,,0000000006,Datum,,KLG,0,0,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
10,Metabole Diagnostiek (basis- en enzymdiagnostiek)(S);,1000001584,1000001584,1000001584,1000005403,20000219411000005403,1,0,0,0,0,,2000021941,,1000005403,0,V,Afname tijd,NULL,afname_tijd,Afname tijd,,0000000010,Tijd,,KLG,0,0,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
11,Metabole Diagnostiek (basis- en enzymdiagnostiek)(S);,1000001584,1000001584,1000001584,1000005404,20000219421000005404,1,0,0,0,0,,2000021942,,1000005404,0,V,Eerder onderzoek,NULL,eerder_onderzoek,Eerder onderzoek,,0000000001,Memo,,KLG,0,0,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
14,Metabole Diagnostiek (basis- en enzymdiagnostiek)(S);Algemene lichamelijke kenmerken;,10000015841000002329,1000002329,1000001584,1000007972,20000219430C0000003020000268591000007972,3,0,0,0,0,,2000026859,1000005405,1000007972,0,V,Lengte,NULL,indOBR_Lengte,Lengte,,0000000002,Keuzeselectiegroep,2000002237,KLG,0,0,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
15,Metabole Diagnostiek (basis- en enzymdiagnostiek)(S);Algemene lichamelijke kenmerken;,10000015841000002329,1000002329,1000001584,1000007973,20000219430C0000003020000268601000007973,3,0,0,0,0,,2000026860,1000005405,1000007973,0,V,Gewicht,NULL,indOBR_Gewicht,Gewicht,,0000000002,Keuzeselectiegroep,2000002970,KLG,0,0,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
16,Metabole Diagnostiek (basis- en enzymdiagnostiek)(S);Algemene lichamelijke kenmerken;,10000015841000002329,1000002329,1000001584,1000007974,20000219430C0000003020000268611000007974,3,0,0,0,0,,2000026861,1000005405,1000007974,0,V,Schedelomtrek,NULL,indOBR_Schedelomtrek,Schedelomtrek,,0000000002,Keuzeselectiegroep,2000002971,KLG,0,0,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
17,Metabole Diagnostiek (basis- en enzymdiagnostiek)(S);Algemene lichamelijke kenmerken;,10000015841000002329,1000002329,1000001584,1000007975,20000219430C0000003020000268631000007975,3,0,0,0,0,,2000026863,1000005405,1000007975,0,V,Algemene lichamelijke kenmerken,NULL,indOBR_alg_lichamelijke_kenmerken,Algemene lichamelijke kenmerken,,0000000007,Meerkeuzelijst,2000002239,KLG,0,0,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
18,Metabole Diagnostiek (basis- en enzymdiagnostiek)(S);Neurologische / spierafwijkingen;,10000015841000002330,1000002330,1000001584,1000007977,20000219430C0000003120000269601000007977,3,0,0,0,0,1000007977,2000026960,1000005405,1000007977,0,V,Neurologische / spierafwijkingen,NULL,indOBR_Neurologische_spierafwijkingen,Neurologische / spierafwijkingen,,0000000007,Meerkeuzelijst,2000002240,KLG,0,1,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
19,Metabole Diagnostiek (basis- en enzymdiagnostiek)(S);Neurologische / spierafwijkingen;,10000015841000002330,1000002330,1000001584,1000008033,20000219430C00000031200002696020000269611000008033,4,0,0,0,0,,2000026961,10000054051000007977,1000008033,0,V,Afwijkende MRI-scan,NULL,indOBR_Afwijkende MRI-scan,Afwijkende MRI-scan,,0000000007,Meerkeuzelijst,2000002250,KLG,0,0,NULL,NULL,NULL,NULL,NULL,,,0,1,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
13,Metabole Diagnostiek (basis- en enzymdiagnostiek)(S);,1000001584,1000001584,1000001584,1000005405,20000219431000005405,1,0,0,0,0,1000005405,2000021943,,1000005405,0,V,Kliniek van de patient,NULL,skip_Kliniek van de patient,Kliniek van de patient,,0000000007,Meerkeuzelijst,2000001623,KLG,0,1,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
20,Metabole Diagnostiek (basis- en enzymdiagnostiek)(S);,1000001584,1000001584,1000001584,1000008034,200002194320000269621000008034,2,0,0,0,0,,2000026962,1000005405,1000008034,0,V,Cardiologische afwijkingen,NULL,indOBR_Cardiologische_afwijkingen,Cardiologische afwijkingen,,0000000007,Meerkeuzelijst,2000002251,KLG,0,0,NULL,NULL,NULL,NULL,NULL,,,0,1,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
21,Metabole Diagnostiek (basis- en enzymdiagnostiek)(S);,1000001584,1000001584,1000001584,1000008035,200002194320000269631000008035,2,0,0,0,0,,2000026963,1000005405,1000008035,0,V,Gastro-entrologische afwijkingen,NULL,indOBR_Gastro_enterologische_afwijkingen,Gastro-entrologische afwijkingen,,0000000007,Meerkeuzelijst,2000002252,KLG,0,0,NULL,NULL,NULL,NULL,NULL,,,0,1,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
22,Metabole Diagnostiek (basis- en enzymdiagnostiek)(S);,1000001584,1000001584,1000001584,1000008036,200002194320000269641000008036,2,0,0,0,0,,2000026964,1000005405,1000008036,0,V,Nefrologische afwijkingen,NULL,indOBR_Nefrologische_afwijkingen,Nefrologische afwijkingen,,0000000007,Meerkeuzelijst,2000002253,KLG,0,0,NULL,NULL,NULL,NULL,NULL,,,0,1,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
23,Metabole Diagnostiek (basis- en enzymdiagnostiek)(S);,1000001584,1000001584,1000001584,1000008037,200002194320000269651000008037,2,0,0,0,0,,2000026965,1000005405,1000008037,0,V,Rontgenologische afwijkingen,NULL,indOBR_rontgenologische_afwijkingen,Rontgenologische afwijkingen,,0000000007,Meerkeuzelijst,2000002254,KLG,0,0,NULL,NULL,NULL,NULL,NULL,,,0,1,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
24,Metabole Diagnostiek (basis- en enzymdiagnostiek)(S);,1000001584,1000001584,1000001584,1000008038,200002194320000269661000008038,2,0,0,0,0,,2000026966,1000005405,1000008038,0,V,Immunol-/hematol. afwijkingen,NULL,indOBR_Immunol_hematol_afwijkingen,Immunol-/hematol. afwijkingen,,0000000007,Meerkeuzelijst,2000002255,KLG,0,0,NULL,NULL,NULL,NULL,NULL,,,0,1,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
25,Metabole Diagnostiek (basis- en enzymdiagnostiek)(S);,1000001584,1000001584,1000001584,1000008039,200002194320000269671000008039,2,0,0,0,0,,2000026967,1000005405,1000008039,0,V,Laboratorium afwijkingen,NULL,indOBR_laboratorium_afwijkingen,Laboratorium afwijkingen,,0000000007,Meerkeuzelijst,2000002256,KLG,0,0,NULL,NULL,NULL,NULL,NULL,,,0,1,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
26,Metabole Diagnostiek (basis- en enzymdiagnostiek)(S);,1000001584,1000001584,1000001584,1000008040,200002194320000269681000008040,2,0,0,0,0,,2000026968,1000005405,1000008040,0,V,Genetica,NULL,indOBR_Genetica,Genetica,,0000000007,Meerkeuzelijst,2000002257,KLG,0,0,NULL,NULL,NULL,NULL,NULL,,,0,1,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
27,Metabole Diagnostiek (basis- en enzymdiagnostiek)(S);,1000001584,1000001584,1000001584,1000008041,200002194320000269691000008041,2,0,0,0,0,,2000026969,1000005405,1000008041,0,V,Oogheelkundige afwijkingen,NULL,indOBR_oogheelkundige_afwijkingen,Oogheelkundige afwijkingen,,0000000007,Meerkeuzelijst,2000002258,KLG,0,0,NULL,NULL,NULL,NULL,NULL,,,0,1,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
28,Metabole Diagnostiek (basis- en enzymdiagnostiek)(S);,1000001584,1000001584,1000001584,1000008042,200002194320000269701000008042,2,0,0,0,0,1000008042,2000026970,1000005405,1000008042,0,V,Overige indicaties,NULL,indOBR_speciale_aanvragen,Overige indicaties,,0000000007,Meerkeuzelijst,2000002259,KLG,0,1,NULL,NULL,NULL,NULL,NULL,,,0,1,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
29,Metabole Diagnostiek (basis- en enzymdiagnostiek)(S);,1000001584,1000001584,1000001584,1000008043,2000021943200002697020000269711000008043,3,0,0,0,0,,2000026971,10000054051000008042,1000008043,0,V,Inspanningstest,NULL,indOBR_Inspanningstest,Inspanningstest,,0000000007,Meerkeuzelijst,2000002260,KLG,0,0,NULL,NULL,NULL,NULL,NULL,,,0,1,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
32,Metabole Diagnostiek (basis- en enzymdiagnostiek)(S);,1000001584,1000001584,1000001584,1000061621,200002194320001281001000061621,2,0,0,0,0,,2000128100,1000005405,1000061621,0,V,Psychiatrische kenmerken,NULL,indOBR_Psychiatrische_kenmerken,,,0000000007,Meerkeuzelijst,2000011540,KLG,0,0,NULL,NULL,NULL,NULL,NULL,,,0,1,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
30,Metabole Diagnostiek (basis- en enzymdiagnostiek)(S);,1000001584,1000001584,1000001584,1000068548,200002194320001409971000068548,2,0,0,0,0,1000068548,2000140997,1000005405,1000068548,0,V,Overige indicaties,NULL,indOBR_speciale_aanvragen,,,0000000007,Meerkeuzelijst,2000012591,KLG,0,0,NULL,NULL,NULL,NULL,NULL,,,0,1,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
31,Metabole Diagnostiek (basis- en enzymdiagnostiek)(S);,1000001584,1000001584,1000001584,1000008043,2000021943200014099720001409991000008043,3,0,0,0,0,,2000140999,10000054051000068548,1000008043,0,V,Inspanningstest,NULL,indOBR_Inspanningstest,Inspanningstest,,0000000007,Meerkeuzelijst,2000002260,KLG,0,0,NULL,NULL,NULL,NULL,NULL,,,0,1,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
33,Metabole Diagnostiek (basis- en enzymdiagnostiek)(S);,1000001584,1000001584,1000001584,1000005406,20000219441000005406,1,0,0,0,0,,2000021944,,1000005406,0,V,Medicatie,NULL,Medicatie,Medicatie,,0000000001,Memo,,KLG,0,0,NULL,NULL,NULL,NULL,NULL,,"Decimalen=0,Aanpasbaar=1,MsgTonen=0,Initieel=0,AllesIngevuld=0,ShowAsInitial=0,IgnoreWhenEditing=0,RekenVeldPad=2000021944",0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
34,Metabole Diagnostiek (basis- en enzymdiagnostiek)(S);,1000001584,1000001584,1000001584,1000005407,20000219451000005407,1,0,0,0,0,,2000021945,,1000005407,0,V,Aanvullende aanvraaggegevens,NULL,aanvullende_aanvraaggegevens,Aanvullende aanvraaggegevens,,0000000001,Memo,,KLG,0,0,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
7,Tumorcytogenetica: Hematologische Maligniteiten(S);indicatie;,10000015851000001587,1000001587,1000001585,1000005413,200002195120000219521000005413,2,1,0,0,0,,2000021952,,1000005413,0,V,"Leukemie/lymfoom, type",NULL,indicatie_type,"Leukemie/lymfoom, type",,0000000001,Memo,,KLG,0,0,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
8,Tumorcytogenetica: Hematologische Maligniteiten(S);indicatie;,10000015851000001587,1000001587,1000001585,1000005414,200002195120000219531000005414,2,1,0,0,0,,2000021953,,1000005414,0,V,HOVON studie,NULL,indicatie_hovon,HOVON studie,,0000000001,Memo,,KLG,0,0,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
9,Tumorcytogenetica: Hematologische Maligniteiten(S);indicatie;,10000015851000001587,1000001587,1000001585,1000005415,200002195120000219541000005415,2,1,0,0,0,,2000021954,,1000005415,0,V,SKION studie,NULL,indicatie_skion,SKION studie,,0000000001,Memo,,KLG,0,0,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
10,Tumorcytogenetica: Hematologische Maligniteiten(S);indicatie;,10000015851000001587,1000001587,1000001585,1000005416,200002195120000219551000005416,2,1,0,0,0,,2000021955,,1000005416,0,V,Indicatie,NULL,indOBR_Indicatie,Indicatie,,0000000002,Keuzeselectiegroep,2000001626,KLG,0,0,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
13,Tumorcytogenetica: Hematologische Maligniteiten(S);indicatie;,10000015851000001587,1000001587,1000001585,1000005417,200002195120000219561000005417,2,1,0,0,0,,2000021956,,1000005417,0,V,Opmerkingen,NULL,Opmerkingen,Opmerkingen,,0000000001,Memo,,KLG,0,0,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
11,Tumorcytogenetica: Hematologische Maligniteiten(S);indicatie;,10000015851000001587,1000001587,1000001585,1000013442,200002195120000389481000013442,2,1,0,0,0,,2000038948,,1000013442,0,V,Controle post-SCT specificatie,NULL,indicatie_post_sct,Controle post-SCT specificatie,,0000000002,Keuzeselectiegroep,2000002964,KLG,0,0,NULL,NULL,NULL,NULL,NULL,,,0,1,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
12,Tumorcytogenetica: Hematologische Maligniteiten(S);indicatie;,10000015851000001587,1000001587,1000001585,1000013447,200002195120000389651000013447,2,1,0,0,0,,2000038965,,1000013447,0,V,Donor,NULL,indicatie_post_sct_allogeen,Donor,,0000000002,Keuzeselectiegroep,2000002965,KLG,0,0,NULL,NULL,NULL,NULL,NULL,,,0,1,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
12,Metabole Diagnostiek (basis- en enzymdiagnostiek)(S);,1000001584,1000001584,1000001584,1000007802,20000266681000007802,1,0,0,0,0,,2000026668,,1000007802,0,V,.,NULL,skip_Opmerking,.,,0000000001,Memo,,KLG,0,0,NULL,NULL,NULL,NULL,NULL,,"""Expressie='Voor spoeddiagnostiek eerst telefonisch overleg (75734)'"",Decimalen=0,Aanpasbaar=0,MsgTonen=0,Initieel=0,AllesIngevuld=0,RekenVeldPad=2000026668",0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
2,Postnataal chromosomenonderzoek(S);Patiënt;,10000023031000002304,1000002304,1000002303,1000007804,200002666920000266701000007804,2,0,1,0,0,,2000026670,,1000007804,0,V,Familienummer U-,NULL,familie_nummer,Familienummer U-,,0000000017,Getal,,KLG,1,0,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
4,Postnataal chromosomenonderzoek(S);Patiënt;,10000023031000002304,1000002304,1000002303,1000013367,200002666920000389131000013367,2,0,0,0,0,,2000038913,,1000013367,0,V,Wilt u foetusinformatie registreren?,NULL,skip_foetus_info,Foetusinformtie,,0000000013,Afvinkhokje,,KLG,0,0,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
5,Postnataal chromosomenonderzoek(S);Patiënt;,10000023031000002304,1000002304,1000002303,1000013422,200002666920000389181000013422,2,0,0,0,0,,2000038918,,1000013422,0,V,Wilt u partnerinformatie registreren?,NULL,skip_Partnerinformatie,partnerinformatie,,0000000013,Afvinkhokje,,KLG,0,0,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
3,Postnataal chromosomenonderzoek(S);Patiënt;,10000023031000002304,1000002304,1000002303,1000065231,200002666920001336781000065231,2,0,1,0,0,,2000133678,,1000065231,0,V,Stamboomnummer,NULL,stamboomnummer,,,0000000012,Gegevens keuzelijst,,KLG,1,0,NULL,NULL,NULL,NULL,NULL,,"Decimalen=0,Aanpasbaar=1,MsgTonen=0,Initieel=0,AllesIngevuld=1,ShowAsInitial=0,IgnoreWhenEditing=0,""RekenVeldPad=2000026669,2000133678""",0,0,NULL,2024-04-12 22:39:25,9999-12-31 23:59:59
6,Postnataal chromosomenonderzoek(S);Patiënt;,10000023031000002304,1000002304,1000002303,1000066337,200002666920001380391000066337,2,0,0,0,0,,2000138039,,1000066337,0,V,Wilt u een eerder getest familielid/ indexpersoon registreren?,NULL,skip_indexpersoon,,,0000000013,Afvinkhokje,,KLG,0,0,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
16,Postnataal chromosomenonderzoek(S);Foetusinformatie;,10000023031000002305,1000002305,1000002303,1000007805,200002667120000266721000007805,2,0,1,0,0,,2000026672,,1000007805,1,V,Naam foetus,NULL,foetus_naam,Naam foetus,,0000000001,Memo,,KLG,0,0,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
17,Postnataal chromosomenonderzoek(S);Foetusinformatie;,10000023031000002305,1000002305,1000002303,1000007806,200002667120000266731000007806,2,0,1,0,0,,2000026673,,1000007806,1,V,(Geplande) geboortedatum foetus,NULL,foetus_geboortedatum,(Geplande) geboortedatum foetus,,0000000006,Datum,,KLG,0,0,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
18,Postnataal chromosomenonderzoek(S);Foetusinformatie;,10000023031000002305,1000002305,1000002303,1000007807,200002667120000266741000007807,2,0,1,0,0,,2000026674,,1000007807,1,V,Geslacht foetus,NULL,foetus_geslacht,Geslacht foetus,,0000000002,Keuzeselectiegroep,2000001627,KLG,0,0,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
19,Postnataal chromosomenonderzoek(S);Foetusinformatie;,10000023031000002305,1000002305,1000002303,1000007808,200002667120000266751000007808,2,0,1,0,0,,2000026675,,1000007808,1,V,Foetus doodgeboren,NULL,foetus_doodgeboren,Foetus doodgeboren,,0000000002,Keuzeselectiegroep,2000001629,KLG,0,0,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
7,Postnataal chromosomenonderzoek(S);Foetusinformatie;,10000023031000002305,1000002305,1000002303,1000024619,200002667120000704801000024619,2,0,0,0,0,,2000070480,,1000024619,0,V,Betreft de onderzoekspersoon de foetus?,NULL,Betreft de onderzoekspersoon de foetus?,,,0000000002,Keuzeselectiegroep,2000001629,KLG,0,0,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
8,Postnataal chromosomenonderzoek(S);Foetusinformatie;Foetusinformatie (verplicht invullen);,100000230310000023051000011079,1000011079,1000002303,1000007805,2000026671200009816720000981691000007805,3,0,0,0,0,,2000098169,,1000007805,0,V,Naam foetus,NULL,foetus_naam,Naam foetus,,0000000001,Memo,,KLG,0,0,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
9,Postnataal chromosomenonderzoek(S);Foetusinformatie;Foetusinformatie (verplicht invullen);,100000230310000023051000011079,1000011079,1000002303,1000007806,2000026671200009816720000981701000007806,3,0,0,0,0,,2000098170,,1000007806,0,V,(Geplande) geboortedatum foetus,NULL,foetus_geboortedatum,(Geplande) geboortedatum foetus,,0000000006,Datum,,KLG,0,0,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
10,Postnataal chromosomenonderzoek(S);Foetusinformatie;Foetusinformatie (verplicht invullen);,100000230310000023051000011079,1000011079,1000002303,1000007807,2000026671200009816720000981711000007807,3,0,0,0,0,,2000098171,,1000007807,0,V,Geslacht foetus,NULL,foetus_geslacht,Geslacht foetus,,0000000002,Keuzeselectiegroep,2000001627,KLG,0,0,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
11,Postnataal chromosomenonderzoek(S);Foetusinformatie;Foetusinformatie (verplicht invullen);,100000230310000023051000011079,1000011079,1000002303,1000007808,2000026671200009816720000981721000007808,3,0,0,0,0,,2000098172,,1000007808,0,V,Foetus doodgeboren,NULL,foetus_doodgeboren,Foetus doodgeboren,,0000000002,Keuzeselectiegroep,2000001629,KLG,0,0,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
12,Postnataal chromosomenonderzoek(S);Foetusinformatie;Foetusinformatie (optioneel in te vullen);,100000230310000023051000011080,1000011080,1000002303,1000007805,2000026671200009816820000981731000007805,3,0,0,0,0,,2000098173,,1000007805,0,V,Naam foetus,NULL,foetus_naam,Naam foetus,,0000000001,Memo,,KLG,0,0,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
13,Postnataal chromosomenonderzoek(S);Foetusinformatie;Foetusinformatie (optioneel in te vullen);,100000230310000023051000011080,1000011080,1000002303,1000042385,2000026671200009816820000981741000042385,3,0,0,0,0,,2000098174,,1000042385,0,V,(Geplande) geboortedatum foetus,NULL,foetus_geboortedatum,(Geplande) geboortedatum foetus,,0000000006,Datum,,KLG,0,0,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
