CODE,SEARCHCODE,OMSCHR,MEMO,SOORT,BEDRIJF
&-CYTO,&-CYTO,Aanvullend - Blokkeert cytostatica voorschrijven,"Sommige zorginstellingen hebben als beleid dat arts-assistenten geen cytostatica mogen voorschrijven. De arts-assistenten kunnen aanvullend in groep &-CYTO geplaatst worden. Deze aanvullende groep blokkeert het cytostatica voorschrijfrecht dat de gebruiker uit zijn standaardgroep verkrijgt.
Werkt in combinatie met de subgroepen onder SPEC.",A,
&DECOP,&DECOP,Aanvullend - Decentraal plannen Opname,"Deze aanvullende groep is voor gebruikers die als aanvulling op hun hoofdgroep ook opnames mogen plannen voor het eigen specialisme. Deze aanvullende groep kan bijvoorbeeld gebruikt worden voor secretaresses van zelfplannende poli’s. Verschil met de aanvullende groep &DECOK is dat deze groep geen rechten heeft om operaties te plannen.
Werkt in combinatie met bijvoorbeeld de subgroepen onder MEDSEC.",A,
&-EVS,&-EVS,Aanvullend - Blokkeert elektronisch voorschrijven,"Deze aanvullende groep blokkeert het voorschrijfrecht dat de gebruiker uit zijn standaardgroep verkrijgt. Als de gebruiker de cursus heeft gevolgd, kan hij uit deze aanvullende groep verwijderd worden en zal daarmee het voorschrijfrecht uit de standaardgroep actief worden. Het beheer hiervan kan decentraal belegd worden. 
•Werkt in combinatie met groepen met voorschrijf bevoegdheden.",A,
&-DEL,&-DEL,Aanvullend - Blokkeert alle verwijderrechten,"Deze aanvullende groep kan worden toegekend aan gebruikers met ruime bevoegdheden die echter niets mogen verwijderen. Alle verwijderrechten staan op ‘Nooit’.
Werkt in combinatie met alle groepen.
",ZH00000039,
&KLIHV,&KLIHV,Aanvullend - Hoofdverpleegkundige/Teamleider Kliniek,"Teamleiders van de verpleegafdelingen hebben meestal een aantal extra autorisaties ten opzichte van de standaardgroep voor verpleegkundigen. Bij &KLIHV is het recht ingesteld om bedden te (de)blokkeren en de afdelingcapaciteit aan te passen.
Werkt in combinatie met de groepen onder KLIVPL. Let op: deze medewerkers moeten niet lid worden gemaakt van de inloggroep(en), maar van de groep(en) onder KLIVPL. Anders werkt de combinatie met &KLIHV niet.
",A,
&MNDT,&MNDT,Aanvullend - mandaat LSP,Deze aanvullende groep is voor gebruikers die mandaat moeten krijgen om namens andere zorgverleners gegevens op te vragen of te verzenden over de koppeling met het LSP (de mandaatverkrijgers). Ook de mandaatverleners moeten onder deze groep gekoppeld zijn om het mandaat te kunnen verlenen of ontnemen,ZH00000039,
&OUDMI,&OUDMI,Aanvullend - Ouderenmishandeling/Huiselijk geweld,"Er is meestal maar een beperkt aantal medewerkers die orders mogen afhandelen die gevoelige informatie bevatten over ouderenmishandeling. Deze gebruikers worden aanvullend op hun standaardgroep lid gemaakt van &OUDMI.
Werkt in combinatie met groepen die orders mogen afhandelen.
",A,
AOIC,AOIC,AO/IC Medewerkers,,FU,
APBARC,APBARC,Applicatiebeheer CS-Archief,,FU,
APBDBG,APBDBG,Applicatiebeheer CS-DBC GGZ,,FU,
APBDLY,APBDLY,Applicatiebeheer CS-PDMS Dialyse,,FU,
APBEPD,APBEPD,Applicatiebeheer CS-EPD,,FU,
APBFAK,APBFAK,Applicatiebeheer CS-Faktuur,,FU,
APBMAP,APBMAP,Applicatiebeheer CS-Maps,,FU,
APBLAB,APBLAB,Applicatiebeheer Laboratorium,,FU,
APBMED,APBMED,Applicatiebeheer CS-Medicatie / CS-Apotheek / CS-Logistiek,,FU,
APBMM,APBMM,Applicatiebeheer CS-MultiMedia,,FU,
&GGZIN,&GGZIN,Aanvullend - GGZ inzage,"Vaak is het wenselijk dat alleen bepaalde paramedici inzage hebben in de GGZ-gegevens. Dit betreft fysiotherapeuten, ergotherapeuten en maatschappelijk werkers die aan bed komen op de PAAZ om de patiënt te behandelen. Dit gaat meestal om enkele paramedici. Daarom kunnen deze bevoegdheden niet worden toegekend aan de standaardrol voor paramedici.
Deze aanvullende groep is vooral bedoeld voor paramedici, maar werkt ook in combinatie met andere groepen die met patiëntdossiers werken.",A,
&HUGEW,&HUGEW,Aanvullend - Bespreking huiselijk geweld,"Er is meestal maar een beperkt aantal medewerkers die orders mogen afhandelen die gevoelige informatie bevatten over huiselijk geweld. Deze gebruikers worden aanvullend op hun standaardgroep lid gemaakt van &HUGEW.
Werkt in combinatie met groepen die orders mogen afhandelen.
",A,
&KINBE,&KINBE,Aanvullend - Kinderbespreking,"Er is meestal maar een beperkt aantal medewerkers die orders mogen afhandelen die gevoelige informatie bevatten over kinderen (bijvoorbeeld kindermisbruik). Deze gebruikers worden aanvullend op hun standaardgroep lid gemaakt van &KINBE.
Werkt in combinatie met groepen die orders mogen afhandelen.
",A,
&KLIAH,&KLIAH,Aanvullend - Avond-/nachthoofd Kliniek,"Het avond-/nachthoofd van de verpleegafdelingen heeft meestal een aantal extra autorisaties ten opzichte van de standaardgroep voor verpleegkundigen. Bij &KLIAH is het recht ingesteld om bedden te (de)blokkeren.
Werkt in combinatie met de groepen onder KLIVPL. Let op: deze medewerkers moeten niet lid worden gemaakt van de inloggroep(en), maar van de groep(en) onder KLIVPL. Anders werkt de combinatie met &KLIAH niet.
",A,
&SPRSP,&SPRSP,Aanvullend - Spraak Specialisten,"Indien de spraak module in gebruik is kunnen via deze aanvullende groep de rechten en functionaliteiten worden toegekend die een arts nodig heeft voor het dicteren.
Voorwaarde: zowel de secretaresse als de arts van hetzelfde specialisme dienen de juiste aanvullende groep te hebben om het werkproces te kunnen doorlopen.
Werkt in combinatie met de subgroepen onder SPEC.
",A,
&STAND,&STAND,Aanvullend - Mag standaardantwoorden beheren,"LET OP: niet zomaar toekennen, navragen bij EPD.
Deze groep geeft bevoegdheden voor het beheren van standaard antwoorden.
Werkt in combinatie met elke groep die vragenlijsten mag beantwoorden.
",ZH00000039,
&SUPVI,&SUPVI,Aanvullend - Wordt gesuperviseerd,"Bij gebruik van CS-Supervisie vinden registraties door de coassistenten standaard onder supervisie plaats. Dit is zo ingericht bij de hoofdgroep voor de coassistenten (COASS). Er kunnen naast de coassistenten nog meer medewerkers zijn van wie registraties onder supervisie moeten plaatsvinden. Denk bijvoorbeeld aan psychologen in opleiding of arts-assistenten. Deze medewerkers kunnen lid worden gemaakt van de aanvullende groep &SUPVI. 
Werkt in combinatie met de subgroepen onder BEH.",A,
APBDCR,APBDCR,Applicatiebeheer CS-DCR,,FU,
APBDWH,APBDWH,Applicatiebeheer CS-DWH,,FU,
APBGGZ,APBGGZ,Applicatiebeheer CS-GGZ,,FU,
APBFUN,APBFUN,Applicatiebeheer CS-Functie,,FU,
APBMUL,APBMUL,Applicatiebeheer CS-Multimonitor,,FU,
APBPIC,APBPIC,Applicatiebeheer CS-PDMS IC/CCU/NICU,,FU,
APBPCT,APBPCT,Applicatiebeheer CS-PDMS CTG,,FU,
APBPOK,APBPOK,Applicatiebeheer CS-PDMS OK,,FU,
APBRON,APBRON,Applicatiebeheer CS-Röntgen,,FU,
APBTAB,APBTAB,Tabellenbeheer,,FU,
APBVPK,APBVPK,Applicatiebeheer CS-Verpleegkunde,,FU,
APBZPD,APBZPD,Applicatiebeheer CS-Zorgpad,,FU,
APBZPR,APBZPR,Applicatiebeheer CS-Zorgportaal,,FU,
APOCY+,APOCY+,ZZApothekersassistente met cytostatica-bereiding + onderhoud,,X,
AUDIOL,AUDIOL,Audioloog,,LU,
AUDIT,AUDIT,Auditor / naslag,Alleen inzage,FU,
&NAZCO,&NAZCO,Aanvullend - Commissie Nazorg,"Er is meestal maar een beperkt aantal medewerkers die orders mogen afhandelen die bestemd zijn voor de Commissie Nazorg. Deze gebruikers worden aanvullend op hun standaardgroep lid gemaakt van &NAZCO.
• Werkt in combinatie met groepen die orders mogen afhandelen.
Er is meestal maar een beperkt aantal medewerkers die orders mogen afhandelen die bestemd zijn voor de Commissie Nazorg. Deze gebruikers worden aanvullend op hun standaardgroep lid gemaakt van &NAZCO.
Werkt in combinatie met groepen die orders mogen afhandelen.
",A,
&SEHRR,&SEHRR,Aanvullend - SEH Rampregistratie,"Wanneer een SEH-inloggroep aanvullend in &SEHRR geplaatst wordt, mogen de gebruikers in die inloggroep de rampregistratie activeren.
Werkt voor de inloggroepen SEHA, SEHV en SEHS. 
Let op: Aan deze aanvullende groep dienen inloggroepen gekoppeld te worden. Werkt niet voor individuele SEH-gebruikers.
",A,
&SEHMR,&SEHMR,Aanvullend - Mutatiegebruiker-rechten SEH-artsen,"Alle SEH-artsen moeten aanvullend van deze groep lid worden gemaakt. Dit omdat zij standaard met een inloggroep inloggen (SEHA). Een inloggroep houdt normaal gesproken geen rekening met individuele afscherming, bijvoorbeeld bij het voorschrijven van medicatie.
Werkt in combinatie met inloggroep SEHA. Deze aanvullende groep is de enige uitzondering op de regel dat aanvullende groepen niet combineren met inloggroepen. Let op: niet de inloggroep SEHA, maar de afzonderlijke gebruikers die lid zijn van inloggroep SEHA moeten van deze aanvullende groep lid worden gemaakt.
",A,
&SPRSC,&SPRSC,Aanvullend - Spraak Secretaresses,"Indien de spraak module in gebruik is kunnen via deze aanvullende groep de rechten en functionaliteiten worden toegekend die een secretaresse nodig heeft voor het verwerken van dictaten.
Voorwaarde: zowel de arts als de secretaresse van hetzelfde specialisme dienen de juiste aanvullende groep te hebben om het werkproces te kunnen doorlopen.
Werkt in combinatie met de subgroepen onder MEDSEC.
",A,
&SSPD,&SSPD,Aanvullend - Schrijfrechten Specialistisch Dossier,"Gebruikers die lid zijn van de KLIVPL-groepen (Klinisch verpleegkundigen) hebben standaard geen schrijfrechten in het specialistisch dossier. Als het wel gewenst is dat een bepaalde KLIVPL-groep over deze schrijfrechten beschikt, kan deze groep lid worden gemaakt van de aanvullende groep &SSPD. Op de KLIVPL-groep moet aanvullend nog wel het volgende worden ingericht:
standaardwerkcontext op dossiersoort, multimediacategorie, ordercategorie en vragenlijstcategorie
rechtgebonden werkcontext op de rechten: ‘Werksettings’, ‘Vrijwaren van noodprocedure’ en ‘Consultregistratie’ (W- en T-component)
Werkt in combinatie met de subgroepen onder KLIVPL.
",A,
&SVPKD,&SVPKD,Aanvullend - Schrijfrechten Verpleegkundig Dossier,"Gebruikers die lid zijn van de groepen binnen de BEH-tak (Behandelaars) hebben standaard geen schrijfrechten in het verpleegkundig dossier. Als het gewenst is dat een bepaalde groep wel over deze schrijfrechten beschikt, kan deze groep lid worden gemaakt van de aanvullende groep &SVPKD. Denk hierbij aan de mogelijkheid te werken met het activiteitenplan, invullen van de verpleegkundige vragenlijsten en het uitzetten van de verpleegkundige orders.
Werkt in combinatie met de subgroepen onder BEH.
",A,
ACCBEH,ACCBEH,Accountbeheer,,FU,
APBDGR,APBDGR,Applicatiebeheer DBC-Grouper,,FU,
APBOPN,APBOPN,Applicatiebeheer CS-Opname,,FU,
APBOVZ,APBOVZ,Applicatiebeheer CS-Overzichtsgenerator,,FU,
APBPAT,APBPAT,Applicatiebeheer CS-Patient,,FU,
APBOK,APBOK,Applicatiebeheer CS-OK,,FU,
APBOCM,APBOCM,Applicatiebeheer CS-Order,,FU,
APBPDM,APBPDM,Applicatiebeheer CS-PDMS,,FN,
APBPTE,APBPTE,Applicatiebeheer PDMS Techniek,,FU,
&SEHSA,&SEHSA,Aanvullend - Blokkeert rechten voor Semi-artsen SEH,"De aanvullende groep &SEHSA wordt gebruikt om bevoegdheden voor de semiartsen SEH ten opzichte van de SEH-artsen te beperken. 
Voorwaarde: wordt alleen gebruikt voor de semi-artsen SEH. 
Werkt in combinatie met de inloggroep SEHSA.
",A,
APBCRE,APBCRE,Applicatiebeheer Care,,FU,
APBMOB,APBMOB,Applicatiebeheer CS-Mobile,,FU,
APBRLS,APBRLS,Applicatiebeheer CS-Rules,,FU,
APOADM,APOADM,Apotheek Administratie,,FU,
AUTBEH,AUTBEH,Autorisatiebeheer,,FU,
ATEAM,ATEAM,Antibiotica-team,,FU,
BAPAG2,BAPAG2,Beperkt applicatiebeheer CS-Agenda fase nazrgdg 1- nazrgdg 2,,FU,
BAPDB0,BAPDB0,Beperkt applicatiebeheer CS-DBC / CS-Episode / CS-Validatie,,FU,
BAPDO0,BAPDO0,Beperkt applicatiebeheer CS-Document livegang-nazorgfase 3,,FU,
BAPDW0,BAPDW0,Beperkt applicatiebeheer CS-DWH,,FU,
BAPIN0,BAPIN0,Beperkt applicatiebeheer Infectiepreventie,,FU,
BAPME3,BAPME3,Bep. apbeh. Med/Apo/Log fase nazorgdag 2-nazorgdag 3,,FU,
BAPME2,BAPME2,Bep. apbeh. Med/Apo/Log fase nazorgdag 1-nazorgdag 2,,FU,
BAPNZ0,BAPNZ0,Beperkt applicatiebeheer Nazorg,,FU,
BAPOK1,BAPOK1,Beperkt applicatiebeheer CS-OK fase livegang-nazorgdag 1,,FU,
BAPOK3,BAPOK3,Beperkt applicatiebeheer CS-OK fase nazorgdag 2-nazorgdag 3,,FU,
BAPPT0,BAPPT0,Beperkt applicatiebeheer Pathologie,,FU,
BAPRAS,BAPRAS,Beperkt applicatiebeheer tbv. rasteren testdag 2-livegang,,FU,
BAPRO0,BAPRO0,Beperkt applicatiebeheer CS-Röntgen fase voor livegang,,FU,
BAPSP0,BAPSP0,Beperkt applicatiebeheer CS-Spraak fase voor livegang,,FU,
BAPTA1,BAPTA1,Bep. apbeh. Centrale stamtabellen fase livegng-nzg 1,,FU,
BAPTK,BAPTK,Beperkt applicatiebeheer CS-Taak,,FU,
BEHEER,BEHEER,Groepen applicatie- en systeembeheer,,O,
BYWERK,BYWERK,Groep tbv bijwerken,,T,
CNVCNT,CNVCNT,Conversiecontrole,,T,
COANE,COANE,Coassistent Anesthesiologie,,LU,
COCHI,COCHI,Coassistent Chirurgie,,LU,
COGER,COGER,Coassistent Geriatrie,,LU,
COIC,COIC,Coassistent IC,,LU,
COKAA,COKAA,Coassistent Kaakchirurgie,,LU,
COLON,COLON,Coassistent Longgeneeskunde,,LU,
CONCH,CONCH,Coassistent Neurochirurgie,,LU,
COORT,COORT,Coassistent Orthopedie,,LU,
COREU,COREU,Coassistent Reumatologie,,LU,
COURO,COURO,Coassistent Urologie,,LU,
COTAN,COTAN,ZZZ - Coassistent Bijzondere tandheelkunde,,X,
CS0008,BAPLAL0,Bep. apbeh. Laboratorium inclusief CS-Lab fase voor livegang,,FU,
CS0015,CNUP,Groep voor installatie standaard content updates,,FU,
CS0016,ELCOR,ZZZ - E-learning Coördinator,,X,
CS0021,HAP&SUPC,Consulten moeten gesuperviseerd worden,,A,
CS0020,HAP&,HAP Aanvullende groepen,,O,
CS0025,MBACSA,Mobile Applicatie Account CSA,,J,
CS0031,CSFREEZE,Groep voor inloggen in de masteromgeving tijdens freeze,Deze groep is alleen voor intern gebruik bij ChipSoft.,FU,
CS0029,APBRTH,Applicatiebeheer Radiotherapie,,FU,
CS0045,ZPAAM,Zorgportaal Applicatie Account Management portaal,,Z,
CS0046,HIS&MNDH,HIS Aanvullend - mandaat LSP,,FN,
CS0056,SPEKIM,Specialist kinderimmunologie - infectieziekten,,LU,
CS0058,SPEKLZ,Kinderlongarts,,LU,
CS0060,SPEKON,Kinderoncoloog,,LU,
CS0061,SPEMET,Specialist kindermetabole ziekten,,LU,
CS0068,HISONC,HIS Oncologieverpleegkundige,,X,
CS0073,SECKLG,Medisch secretaresse / Poli-assistente Klinische Genetica,,LU,
APBPRE,APBPRE,Applicatiebeheer CS-Preop,,FU,
APBSPR,APBSPR,Applicatiebeheer CS-Spraak,,FU,
APBSEH,APBSEH,Applicatiebeheer CS-SEH,,FU,
APBRTR,APBRTR,Applicatiebeheer CS-Routeer,,FU,
APBVMS,APBVMS,Applicatiebeheer VMS,,FU,
APBTK,APBTK,Applicatiebeheer CS-Taak,,FU,
APBSTE,APBSTE,Applicatiebeheer CS-Steriel,,FU,
APBVOE,APBVOE,Applicatiebeheer CS-Voeding,,FU,
APOASP,APOASP,Apothekersassistente op Apotheek Service Punt,5/9: Deze SC rol is ter vervanging van de GMAGMO rol in 6.1.,FU,
APOASS,APOASS,Apothekersassistente,,FU,
APO,APO,Groepen Apotheek,,O,
APOCYT,APOCYT,Apothekersassistente met cytostatica-bereiding,,FU,
APOTHK,APOTHK,Apotheker,,FU,
APOMAN,APOMAN,Apotheker - mandaat LSP,2-10-23 rechtgebonden werkcontext op gebruiker (SC) verwijderd en de correcte gebruiker ingesteld op de diepere niveaus op het recht MHLSP.,FN,
ARBCOR,ARBCOR,ZZZ - ARBO Coördinator,,X,
ARCMDW,ARCMDW,Medisch Archief Medewerker,,FU,
AZR,AZR,AZR administratie,,FU,
BAPAG0,BAPAG0,Beperkt applicatiebeheer CS-Agenda fase voor livegang,,FU,
BAPAG1,BAPAG1,Beperkt applicatiebeheer CS-Agenda fase livegang-nazorgdag 1,,FU,
BAPAG3,BAPAG3,Beperkt applicatiebeheer CS-Agenda fase nazrgdg 2- nazrgdg 3,,FU,
BAPAR0,BAPAR0,Beperkt applicatiebeheer CS-Archief fase voor livegang,,FU,
BAPAR1,BAPAR1,Beperkt applicatiebeheer CS-Archief fase livegang-nazorgdg 3,,FU,
BAPDA1,BAPDA1,Bep. app. beh. CS-Dagbehandeling fase livegang-nazorgdag 3,,FU,
BAPDA0,BAPDA0,Beperkt applicatiebeheer CS-Dagbehandeling,,FU,
BAPEP0,BAPEP0,Beperkt applicatiebeheer EPD fase voor livegang,,FU,
BAPFU0,BAPFU0,Beperkt applicatiebeheer CS-Functie,,FU,
BAPMA0,BAPMA0,Beperkt applicatiebeheer CS-Maps fase voor livegang,,FU,
BAPGG0,BAPGG0,Beperkt applicatiebeheer CS-GGZ,,FU,
BAPKO0,BAPKO0,Beperkt applicatiebeheer Koppelingen,,FU,
BAPFA0,BAPFA0,Beperkt applicatiebeheer CS-Faktuur fase t/m testdag 2,,FU,
BAPME0,BAPME0,Bep. apbeh. Med/Apo/Log fase voor livegang,,FU,
BAPME1,BAPME1,Bep. apbeh. Med/Apo/Log fase livegang-nazorgdag 1,,FU,
BAPLA0,BAPLA0,Beperkt applicatiebeheer Laboratorium fase voor livegang,,FU,
BAPOK0,BAPOK0,Beperkt applicatiebeheer CS-OK fase voor livegang,,FU,
BAPOK2,BAPOK2,Beperkt applicatiebeheer CS-OK fase nazorgdag 1-nazorgdag 2,,FU,
BAPOP0,BAPOP0,Beperkt applicatiebeheer CS-Opname fase voor livegang,,FU,
BAPOP1,BAPOP1,Beperkt applicatiebeheer CS-Opname fase livegang-nazorgdag 1,,FU,
BAPOP2,BAPOP2,Beperkt applicatiebeheer CS-Opname fase nazrgdg 1-nazrgdg 2,,FU,
BAPOP3,BAPOP3,Beperkt applicatiebeheer CS-Opname fase nazrgdg 2-nazrgdg 3,,FU,
BAPPD0,BAPPD0,Beperkt applicatiebeheer CS-PDMS voor livegang-nazorgdag 3,,FU,
BAPPA0,BAPPA0,Beperkt applicatiebeheer CS-Patiënt,,FU,
BAPPR0,BAPPR0,Beperkt applicatiebeheer CS-Preop fase voor livegang,,FU,
BAPRO1,BAPRO1,Beperkt applicatiebeheer CS-Röntgen fase livegang-nazorgdg 3,,FU,
BAPSH0,BAPSH0,Beperkt applicatiebeheer SEH fase voor livegang,,FU,
BAPTA0,BAPTA0,Bep. apbeh. Centrale stamtabellen fase voor livegang,,FU,
BAPTA2,BAPTA2,Bep. apbeh. centrale stamtabellen fase nazorgdag 1-nazrgdg 2,,FU,
BAPTA3,BAPTA3,Bep. apbeh. centrale stamtabellen fase nazorgdag 2-nazrgdg 3,,FU,
BAPTP0,BAPTP0,Beperkt applicatiebeheer TOP fase voor livegang,,FU,
BAPVK0,BAPVK0,Beperkt applicatiebeheer CS-Verpleegkunde,,FU,
BEH,BEH,Behandelaar,,O,
BAPVO0,BAPVO0,Beperkt applicatiebeheer CS-Voeding,,FU,
BYWMED,BYWMED,Groep tbv bijwerken medicatie voor Go-Live,,T,
CHIP,CHIP,Groep alleen voor gebruiker CHIPSOFT,,FN,
COALL,COALL,ZZZ - Coassistent Allergologie,,X,
BAPDG0,BAPDG0,Beperkt Applicatiebeh. CS-DBC GGZ voor livegang,,FU,
BAPMM0,BAPMM0,Beperkt applicatiebeheer CS-Multimedia,,FU,
BAPRL0,BAPRL0,Beperkt applicatiebeheer CS-Rules,,FU,
BEVMDW,BEVMDW,Beveiligingsmedewerker / Receptiemedewerker,,FU,
COASS,COASS,Coassistent,,FN,
COCAR,COCAR,Coassistent Cardiologie,,LU,
COCTC,COCTC,ZZZ - Coassistent Cardiothoracale Chirurgie,,X,
CODER,CODER,Coassistent Dermatologie,,LU,
COEND,COEND,Coassistent Endocrinologie,,LU,
COHEM,COHEM,Coassistent Hematologie,,LU,
COGYN,COGYN,Coassistent Gynaecologie,,LU,
COINT,COINT,Coassistent Interne Geneeskunde,,LU,
COKIN,COKIN,Coassistent Kindergeneeskunde,,LU,
COKNO,COKNO,Coassistent KNO,,LU,
COMDL,COMDL,Coassistent MDL,,LU,
CONEU,CONEU,Coassistent Neurologie,,LU,
COONC,COONC,Coassistent Oncologie,,LU,
CONEF,CONEF,Coassistent Nefrologie,,LU,
COOOG,COOOG,Coassistent Oogheelkunde,,LU,
COPLA,COPLA,Coassistent Plastische Chirurgie,,LU,
COPSY,COPSY,Coassistent Psychiatrie,,LU,
COSPO,COSPO,Coassistent Sportgeneeskunde,,LU,
COREV,COREV,Coassistent Revalidatie,,LU,
CS0001,BAPTRV,Beperkt applicatiebeheer tbv. tarieven inrichting,,FU,
CS0009,APBLABL,Applicatiebeheer Laboratorium inclusief CS-Lab,,FU,
CS0006,KCLANL,ZZZ - KCL Analist inclusief CS-LAB,,X,
CS0011,KLICHEL,ZZZ - Klinisch Chemicus inclusief CS-LAB,,X,
CS0010,APOTHKL,ZZZ - Apotheker inclusief CS-LAB,,X,
CS0012,BLAMDWL,Medewerker bloedafname inclusief CS-Lab,,FU,
CS0013,&TEST,Aanvullend - Mag inloggen met testgebruikers -zie Inloggroep,"Voor testdoeleinden is er voor elke rol een testgebruiker beschikbaar. Om te mogen inloggen onder een testgebruiker moet de gebruiker beschikken over een recht. Alle gebruikers die vallen onder de groep BEHEER beschikken al over dit recht. Als nog meer gebruikers de mogelijkheid moeten hebben om onder een testgebruiker in te loggen, kunnen zij geplaatst worden in de Inloggroep &TEST.
Werkt in combinatie met elke andere willekeurige groep of inloggroep.
",ZH00000039,
CS0019,HISMAN,HIS Manager,,FU,
CS0018,HISGEB,HIS Gebruikers,,FN,
CS0017,FUNPLA,ZZZ - Functieafdeling Plastische Chirurgie,,X,
CS0022,HAP&SUPT,Telefonische consulten moeten gesuperviseerd worden,,A,
CS0023,HAP&SUPV,Visites moeten gesuperviseerd worden,,A,
CS0024,MBAAHC,Mobile Applicatie Account HomeCare,,Z,
CS0026,MONZSPE,Monitor zonder specialisme,,LU,
CS0028,HISPOG,HIS Praktijkondersteuner GGZ,,X,
CS0027,HISPOS,HIS Praktijkondersteuner somatiek,,X,
CS0032,HIS&,HIS Aanvullende groepen,,O,
CS0034,APBZPF,Applicatiebeheer CS-Zorgplatform,,FU,
CS0033,HIS&ZPT,HIS Aanvullend - Zorgportaal toegang,,A,
CS0035,HIS&CALL,HIS Aanvullend - Beheer supportcalls,,A,
CS0047,SPEEEA,Specialist erfelijke en aangeboren aandoeningen,,LU,
CS0048,SPEKAL,Kinderallergoloog,,LU,
CS0049,SPEKCA,Kindercardioloog,,LU,
CS0051,SPEKEN,Kinderendocrinoloog,,LU,
CS0052,SPEKGA,Kindergastro-enteroloog,,LU,
CS0053,SPEKHA,Kinderhematoloog,,LU,
CS0057,SPEKIR,Specialist kinderimmunologie - reumatologie,,LU,
