LIJSTID,CATEGORIE,LIJSTNAAM
CS00047224,AANL,Oncologie
CS00047728,AANL,Ondervoeding
CS00047731,AANL,Ontslag
CS00047220,AANL,Open-dicht
CS00047890,AANL,Overlevingsstatus
CS00047945,AANL,palliatief
CS00047886,AANL,Palliatieve behandeling
CS00047888,AANL,Panode registratie
CS00047887,AANL,Pathologie
CS00047873,AANL,Pathologie preoperatief
CS00047734,AANL,Patient
CS00046828,AANL,Patiënt
CS00047190,AANL,Patiënt
CS00047721,AANL,Patiënt
CS00046829,AANL,Patientdata
CS00047191,AANL,Patiëntgegevens
CS00046830,AANL,Perinatal information
CS00047876,AANL,Perioperatieve zorg
CS00047221,AANL,Peroperatief
CS00047885,AANL,Postoperatief
CS00047222,AANL,Post-operatief
CS00046858,AANL,Postoperative care
CS00047216,AANL,Pre-operatief
CS00046871,AANL,Procedure
CS00047735,AANL,Procedure
CS00047941,AANL,procoverig
CS00047198,AANL,Pulmonaal
CS00047859,AANL,Pulmonaal
CS00047210,AANL,Radiologie
CS00047208,AANL,Recidief
CS00046860,AANL,Redo surgery first admission
CS00046862,AANL,Redo surgery first year
CS00047193,AANL,Registratiegroep
CS00047940,AANL,resecaanv
CS00047939,AANL,resecart
CS00047219,AANL,Resectie
CS00047864,AANL,Spier en gewrichten
CS00047203,AANL,Spieren en gewrichten
CS00047725,AANL,Spoedeisende hulp
CS00046837,AANL,Surgery
CS00046842,AANL,Surgery
CS00046849,AANL,Surgery
CS00046857,AANL,Surgery
CS00046865,AANL,Surgery
CS00047726,AANL,Therapie
CS00047729,AANL,Therapie
CS00047744,AANL,therapiesup
CS00046856,AANL,Timing surgery
CS00046846,AANL,Treatment on NICU
CS00047202,AANL,Trombose / Stolling
CS00047863,AANL,Trombotisch/Stollingsstoornis
CS00046832,AANL,Type of malformation
CS00047737,AANL,Type operatie
CS00047201,AANL,Urogenitaal
CS00047862,AANL,Urogenitaal
CS00047196,AANL,Vasculair
CS00047857,AANL,Vasculair
CS00046847,AANL,Ventilation
CS00047192,AANL,Verrichting
CS00047723,AANL,Verrichting
CS00047724,AANL,Verrichting
CS00047738,AANL,Voorgaande operaties (aan betreffende heup)  - primary
CS00047854,AANL,Voorgeschiedenis
CS00039438,ALG,-
CS00004663,ALG,(A) Allergieën
CS00058131,ALG,(Eventuele) miskramen
CS00059310,ALG,1. Algemene gezondheid
1000018504,ALG,1. Algemene vragen
CS00052755,ALG,1. Diagnose
CS00063521,ALG,1. Gegevens zorgplan
CS00052459,ALG,10 min
CS00030781,ALG,1e graads
1000019699,ALG,1e pre-SCT gesprek
CS00063522,ALG,2. Algemene informatie
1000018505,ALG,2. Medische voorgeschiedenis
CS00059311,ALG,2. Pijn/ongemak
CS00052757,ALG,2. Uitsluitingscriteria
CS00063523,ALG,2.A. Gegevens kind
CS00063524,ALG,2.B. Praktische zaken
CS00063525,ALG,2.C. Zorgteam
CS00063531,ALG,2.D. Contactmogelijkheden
CS00026265,ALG,24-uurs bloeddrukmeting
CS00040495,ALG,24-uurs bloeddrukmeting
CS00001233,ALG,2-8-2010 ALG
CS00050896,ALG,2nd and 3rd Dives
CS00059312,ALG,3. Geheugen
CS00052758,ALG,3. Medicamenteuze neurodepressie
1000017966,ALG,"3. Medicatie, roken, alcohol en voeding"
CS00063535,ALG,"3. Waarden, doelen en voorkeuren"
CS00063536,ALG,3.A. Wie is het kind?
CS00063537,ALG,3.B. Beleving ziekte en levensvisie
CS00063538,ALG,3.C. Huidige situatie
CS00063540,ALG,3.D. Toekomstverwachting
CS00026267,ALG,30 min. bloeddrukmeting
CS00040496,ALG,30 min. bloeddrukmeting
CS00030784,ALG,3e graads
CS00059313,ALG,4. Dagelijks leven
1000017967,ALG,4. Gegevens over sport en lichamelijke beweging
CS00063923,ALG,4. Klinisch neurologisch onderzoek arts 2
CS00063924,ALG,4. Klinisch neurologisch onderzoek arts 3
CS00052759,ALG,4. Klinisch-neurologisch onderzoek
CS00063541,ALG,4. Zorg en behandeling
CS00063542,ALG,4.A. Doelen voor zorg en behandeling
CS00063543,ALG,4.B. Medische situatie
CS00063544,ALG,4.C. Afspraken rondom de behandeling
CS00063545,ALG,4.D. Voeding
CS00063548,ALG,4.E. Huidige symptomen en te verwachten symptomen bij aandoening
CS00063550,ALG,4.F. Scenario's
CS00063551,ALG,4.G. Levenseindezorg
CS00052458,ALG,5 min
CS00052760,ALG,5. Aanvullend onderzoek
1000018509,ALG,5. Gegevens van uw familie
CS00059314,ALG,5. Hoe u zich voelt
CS00063552,ALG,5. Levenseindezorg
CS00063553,ALG,5.A. Levenseinde
CS00063554,ALG,5.B. Vocht- en/of voeding onthouding
CS00063555,ALG,5.C. Palliatieve sedatie
CS00052761,ALG,6. Apneutest
CS00059317,ALG,6. Sociale activiteiten
1000017969,ALG,6. Zwangerschap
CS00052762,ALG,7. Verklaring
CS00063925,ALG,7. Verklaring (BE)
CS00059318,ALG,7. Ziektes/aandoeningen
CS00059319,ALG,8. Kwaliteit van leven
CS00059320,ALG,9. Het gesprek en uw wensen en verwachtingen
CS00033518,ALG,A- Assistent
CS00033978,ALG,A- Assistent
CS00056433,ALG,A. Algemene gezondheid
CS00064696,ALG,Aandoeningen
CS00001050,ALG,Aandoeningen in de familie
CS00060594,ALG,Aandoeningen in de familie
CS00064697,ALG,Aandoeningen in uw familie
CS00030054,ALG,Aangebracht materiaal
CS00042708,ALG,Aangebracht materiaal
CS00001373,ALG,Aangedane zijde links
CS00001365,ALG,Aangedane zijde rechts
1000019506,ALG,Aanmelden MDO von Hippel Lindau door patiënt
1000013555,ALG,Aanmelding
CS00050722,ALG,Aanmelding radiotherapie
CS00050721,ALG,Aanmelding zorglijn radiotherapie
CS00061032,ALG,Aanmelding/verwijzing
CS00033161,ALG,Aanvraag  medisch fotograaf
CS00054538,ALG,Aanvraag beenmergonderzoek
CS00043924,ALG,Aanvraag diversen
1000019245,ALG,Aanvraag machtiging verzekeraars
CS00033157,ALG,Aanvraag medisch fotograaf
CS00034379,ALG,Aanvraag POK
1000013215,ALG,Aanvraag psychodiagnostisch onderzoek MGGZ
1000010951,ALG,Aanvraagformulier
CS00040868,ALG,Aanvraagformulier elastische kousen
CS00039712,ALG,Aanvraagformulier Verbandhulpmiddelen
CS00060634,ALG,Aanvullend beleid
CS00040857,ALG,Aanvullend onderzoek
CS00059813,ALG,Aanvullend onderzoek
1000015563,ALG,Aanvullend onderzoek LATER
CS00061446,ALG,Aanvullende eisen wijkverpleging
1000010603,ALG,Aanvullende informatie per studie
CS00059356,ALG,Aanvullende metingen ouders
CS00056191,ALG,Aanvullende registratie Wzd
1000016210,ALG,Aanvullende screening
CS00055876,ALG,Aanvullende vragenlijst bij risico-inventarisatie op TBC en LTBI
CS00058930,ALG,Aanvullende vragenset
CS00006273,ALG,Aanvullingen
CS00037061,ALG,Aanwezigen
CS00064699,ALG,Aard rugklachten
CS00023165,ALG,Abdomen
CS00023167,ALG,Abdomen
CS00000010,ALG,Abdomen (uitgebreid)
1000018782,ALG,Abdominale drain
1000013415,ALG,Actief woon werk lichamelijke beweging
1000013417,ALG,Actief woon werk lichamelijke beweging fietsen
1000013416,ALG,Actief woon werk lichamelijke beweging lopen
CS00044027,ALG,Ademhaling
CS00013504,ALG,Ademhaling / saturatie
CS00026252,ALG,ADHD
CS00008646,ALG,Afbeelding van buik/abdomen
CS00034677,ALG,Afbeeldingen
CS00013502,ALG,Afbeeldingen / tekenen
CS00001799,ALG,Affectieve functies
1000018044,ALG,Afgeleide PSK scoreformulier (portaal)
CS00051143,ALG,Afhandeling
1000016837,ALG,Afhandeling ontslagcorrespondentie
CS00036365,ALG,Afloop
CS00029796,ALG,Afmetingen
1000015842,ALG,Afsluiting
CS00056439,ALG,Afsluiting
CS00059321,ALG,Afsluiting
CS00064701,ALG,Afsluiting
CS00023244,ALG,Afspraak maken
CS00052461,ALG,After 15 min
CS00052462,ALG,After 30 min
CS00052463,ALG,After 45 min
CS00039423,ALG,Afwijkende zijde
CS00000003,ALG,Afwijkingen hoofd/hals
1000019483,ALG,Akkoord ANE opereren CMH
1000019485,ALG,Akkoord Hoofd kliniek/dagbehandeling CMH
1000019484,ALG,Akkoord Hoofd OK CMH
1000013413,ALG,Alcohol
1000015840,ALG,Alcohol
1000015922,ALG,Alcohol
CS00044144,ALG,Alcohol
CS00055382,ALG,Alcohol
CS00056358,ALG,Alcohol 70%
1000013818,ALG,ALG Dagprogramma
CS00002039,ALG,ALG DDR OOG
CS00015650,ALG,ALG Genitalia interna
1000011932,ALG,ALG Hospital Anxiety & Depression Scale (HADS)
1000012443,ALG,ALG Wondformulier
1000013025,ALG,ALG Wondformulier
CS00001449,ALG,Algemeen
CS00023119,ALG,Algemeen
CS00033375,ALG,Algemeen
CS00036363,ALG,Algemeen
CS00055912,ALG,Algemeen
CS00056465,ALG,Algemeen
CS00056470,ALG,Algemeen
CS00056796,ALG,Algemeen
CS00060595,ALG,Algemeen
CS00063313,ALG,Algemeen
CS00023130,ALG,Algemeen (Tractus anamnese II)
1000015648,ALG,Algemeen LATER
CS00058926,ALG,Algemene beoordeling
CS00052754,ALG,Algemene gegevens
CS00023141,ALG,Algemene indruk
CS00023142,ALG,Algemene indruk
CS00001797,ALG,Algemene indrukken
CS00060505,ALG,Algemene informatie
CS00030051,ALG,Algemene stomagegevens
1000017964,ALG,Algemene vragen
CS00029345,ALG,Algemene wondgegevens
CS00029346,ALG,Algemene wondgegevens
CS00023027,ALG,Alginaat 1
CS00057677,ALG,Alle actieve vrijheidsbeperkende interventies
CS00034558,ALG,Allergie
CS00000027,ALG,Allergieën
CS00055915,ALG,Allergieën
CS00028980,ALG,Allergieonderzoek
CS00028981,ALG,Allergieonderzoek
CS00055410,ALG,Allergische reactie (RTH)
CS00057380,ALG,Allergische reactie ja
1000012525,ALG,ALSFRS-R
CS00064538,ALG,Amputatie of andere fysieke afwijking waarvoor ondersteuning
CS00034778,ALG,Anamnese
CS00050393,ALG,Anamnese
1000015596,ALG,Anamnese en specieel onderzoek LATER
CS00063527,ALG,Andere kinderarts of verpleegkundig specialist
CS00023279,ALG,Anders
CS00056363,ALG,Anders
CS00061937,ALG,Anders
CS00061939,ALG,Anders
CS00061942,ALG,Anders
CS00061944,ALG,Anders
CS00061938,ALG,Anders nieuw
CS00063222,ALG,Angst- en stressreductie
CS00050777,ALG,Annuleringsreden aanmelding
CS00037753,ALG,Annuleringsredenen zorgpad CCD
CS00010578,ALG,Anststoornissen
CS00034081,ALG,Anticoagulantia
CS00034182,ALG,Anticoagulantia
CS00034369,ALG,Anticoagulantia
CS00034180,ALG,Anticoagulantia/Trombocytenaggregatieremmer(s)
1000017410,ALG,Antistolling
CS00048182,ALG,Antistollingsbeleid: interne protocollen
CS00013505,ALG,Antropometrie
1000018814,ALG,Aortaklepvervanging
CS00034374,ALG,Apixaban/Rivaroxaban/Edoxaban
CS00063590,ALG,Apotheek
1000019743,ALG,Apothekersassistent
CS00059811,ALG,Arterieel ulcus
CS00037602,ALG,Artroscopische ingreep knie
CS00063311,ALG,Arts/VS/PA/kindercomfortteam
CS00063756,ALG,Artsenverklaring
1000019676,ALG,Artsenverklaring UMCU
CS00061364,ALG,ASA + dipyridamol
CS00029188,ALG,ASA classificatie
CS00050881,ALG,Ascent
CS00039527,ALG,Aspect faeces
CS00028982,ALG,Audiometrie
CS00028983,ALG,Audiometrie
CS00023155,ALG,Auscultatie
CS00023162,ALG,Auscultatie
CS00023179,ALG,Auscultatie
CS00026253,ALG,Autismespectrum stoornissen
CS00011100,ALG,Autismespectrumstoornis
CS00055911,ALG,Auto-anamnese
CS00061260,ALG,AYA - afmelden
CS00059188,ALG,AYA Algemeen
CS00059187,ALG,AYA Anamnese
CS00035373,ALG,B - Letsel
CS00035375,ALG,B - Letsel
1000016206,ALG,B symptomen
CS00056434,ALG,B. Pijn/ongemak
1000009603,ALG,Bacteriologie
CS00038013,ALG,Bacteriologie
CS00056359,ALG,Barrierefilm spray
CS00052455,ALG,Baseline (mmHG)
CS00049750,ALG,Basiskenmerken
CS00061344,ALG,Basiskenmerken
CS00061345,ALG,Basiskenmerken
CS00057378,ALG,Beantwoord onderstaande 5 vragen op de dag van uw vaccinatieafspraak
1000009660,ALG,"beantwoorden door het antwoord te kiezen dat het meest op u van toepassing is. Er zijn geen ""juiste"""
CS00035158,ALG,Beantwoording
CS00035628,ALG,Beantwoording
CS00035742,ALG,Beantwoording
1000015882,ALG,Beëindigen lijn
1000019147,ALG,Beëindigen lijn
1000019155,ALG,Beëindigen lijn
1000008249,ALG,Beeldvorming
CS00038007,ALG,Beeldvorming
CS00064342,ALG,Beeldvorming
1000013135,ALG,Beeldvorming 2D / 3D foto
1000013134,ALG,Beeldvorming Cone beam CT
1000013129,ALG,Beeldvorming Faryngogram Postoperatief
1000013128,ALG,Beeldvorming Faryngogram Preoperatief
1000013131,ALG,Beeldvorming Medische fotos
1000013130,ALG,Beeldvorming MRI brein
1000013137,ALG,Beeldvorming Nasendoscopie postoperatief
1000013136,ALG,Beeldvorming Nasendoscopie preoperatief
1000013132,ALG,Beeldvorming orthopantomogram (OPG)
1000013133,ALG,Beeldvorming rontgen schedelprofielopname (RSP)
1000018874,ALG,Begeleider bij afspraak
CS00063499,ALG,Begeleiding bij sedatie/narcose
1000013217,ALG,Behandelplan MGGZ
CS00055610,ALG,Behandelplan on hold
1000012904,ALG,Behandelplanbespreking
CS00033683,ALG,Bekende bron
CS00034780,ALG,BEKKEN Incontinentie
CS00006569,ALG,Bekken links
CS00006568,ALG,Bekken rechts
CS00007780,ALG,Bekken rechts\links
CS00034786,ALG,BEKKEN Stress incontinentie
CS00034783,ALG,BEKKEN Urge incontinentie
CS00037605,ALG,Beleid artroscopische ingreep knie
CS00037611,ALG,Beleid chirurgische patiënt
CS00037624,ALG,Beleid DOAC
CS00057591,ALG,Beleid Fondaparinux
CS00037608,ALG,Beleid gipsen/onderste extremiteit letsel
CS00037626,ALG,Beleid LMWH
CS00037614,ALG,Beleid niet-chirurgische patiënt
CS00057598,ALG,Beleid Ongefractioneerd heparine
CS00037598,ALG,Beleid orthopedie
CS00061368,ALG,Beleid TAR
CS00061376,ALG,Beleid TAR
CS00061393,ALG,Beleid TAR
CS00061402,ALG,Beleid TAR
CS00037617,ALG,Beleid TAR (richtlijn 2019)
CS00037601,ALG,Beleid trauma
CS00038028,ALG,Beleid tromboseprofylaxe
CS00037621,ALG,Beleid VKA
CS00033688,ALG,Beleidsadviezen
CS00004169,ALG,Belemmerde de pijn u de afgelopen week
CS00051166,ALG,Belgische screening kindermishandeling
CS00058330,ALG,Beoordeling arts
CS00033985,ALG,Beslisboom Anticoagulantia
CS00037603,ALG,Beslisboom artroscopische ingreep knie
CS00037610,ALG,Beslisboom chirurgische patiënt
CS00037623,ALG,Beslisboom DOAC
CS00057590,ALG,Beslisboom Fondaparinux
CS00037607,ALG,Beslisboom gipsen/onderste extremiteit letsel
CS00057685,ALG,Beslisboom LMWH
CS00037613,ALG,Beslisboom niet-chirurgische patiënt
CS00057597,ALG,Beslisboom Ongefractioneerd heparine
CS00037597,ALG,Beslisboom Orthopedie
CS00061367,ALG,Beslisboom TAR
CS00061375,ALG,Beslisboom TAR
CS00061392,ALG,Beslisboom TAR
CS00061401,ALG,Beslisboom TAR
CS00037616,ALG,Beslisboom TAR (richtlijn 2019)
CS00037600,ALG,Beslisboom trauma
CS00033984,ALG,Beslisboom Trombocytenaggregatieremmer(s)
CS00037620,ALG,Beslisboom VKA
CS00003177,ALG,Besloten tot
1000008250,ALG,Besluit
CS00035727,ALG,Besmettingsrisco (incl. MRSA/BRMO)
CS00046797,ALG,Besmettingsrisico
CS00051033,ALG,Besmettingsrisico
CS00035153,ALG,Besmettingsrisico (incl. BRMO/MRSA)
CS00035156,ALG,Besmettingsrisico (incl. MRSA/BRMO)
CS00038270,ALG,Besmettingsrisico (incl. MRSA/BRMO)
CS00038272,ALG,Besmettingsrisico (incl. MRSA/BRMO) reeds uitgevraagd
CS00057796,ALG,Besmettingsrisico spoed/klinisch
1000019212,ALG,Bespreekformulier HTx/LVAD
1000012499,ALG,Bespreking
1000009223,ALG,Besproken door
1000019672,ALG,Bestelling
1000019670,ALG,Bestelling gips
1000019671,ALG,Bestelling gips product
CS00063309,ALG,Betrokken disciplines
CS00063310,ALG,Betrokken persoon VS/PA
CS00001802,ALG,Betrouwbaarheid onderzoek
CS00049756,ALG,Beweging
CS00061347,ALG,Beweging
CS00064708,ALG,Beweging
1000017365,ALG,Bezetting poli
1000010551,ALG,Bezwaarformulier
1000019750,ALG,Bijwerkingen / toxiciteit
CS00004171,ALG,"Bijwerkingen van de pijnmedicatie, zoals:"
1000018800,ALG,Blaaskatheter
CS00063228,ALG,Blaaskatheter
1000017521,ALG,Blanco envelop
1000009596,ALG,Bloedchemie
CS00044036,ALG,Bloeddruk
CS00039410,ALG,Bloeddrukmeting
CS00016519,ALG,Bloeddrukmeting Thuismeting
CS00040497,ALG,Bloeddrukmeting Thuismeting
CS00040500,ALG,Bloeddrukmeting Thuismeting
CS00038064,ALG,Bloedingsrisico hoog
CS00038166,ALG,Bloedingsrisico hoog
CS00038171,ALG,Bloedingsrisico hoog
CS00038175,ALG,Bloedingsrisico hoog
CS00038065,ALG,Bloedingsrisico intermediair
CS00038167,ALG,Bloedingsrisico intermediair
CS00038173,ALG,Bloedingsrisico intermediair
CS00038176,ALG,Bloedingsrisico intermediair
CS00040841,ALG,Bloedonderzoek
CS00059423,ALG,Bloedonderzoek
1000009601,ALG,Bloedtransfusie
CS00063941,ALG,BMI (metingen)
CS00027442,ALG,BOPZ
1000009607,ALG,Botdensitometrie
CS00033584,ALG,Botuline toxine behandeling
CS00001338,ALG,Bovenarm links
CS00001337,ALG,Bovenarm rechts
CS00007771,ALG,Bovenarm rechts/links
CS00001336,ALG,Bovenarmen
CS00059677,ALG,Brandwond
CS00003165,ALG,Brandwonden
CS00062961,ALG,Brandwonden
CS00045570,ALG,Brandwonden (specialistisch)
CS00045571,ALG,Brandwonden (specialistisch)
CS00045572,ALG,Brandwonden (specialistisch)
CS00021704,ALG,Brandwonden (wond 1)
CS00022902,ALG,Brandwonden (wond 2)
CS00022912,ALG,Brandwonden (wond 3)
CS00022913,ALG,Brandwonden (wond 4)
CS00022915,ALG,Brandwonden (wond 5)
CS00022916,ALG,Brandwonden (wond 6)
CS00063124,ALG,Brandwonden specialistisch
CS00029364,ALG,Brandwonden wondform IV
CS00044532,ALG,Breuken
1000011153,ALG,BRMO anamnese
1000016735,ALG,BRMO anamnese/ klinisch isolatie
1000013443,ALG,Broer 1
1000017976,ALG,Broer 1
CS00049769,ALG,Broer 1
1000013445,ALG,Broer 2
1000017981,ALG,Broer 2
CS00049770,ALG,Broer 2
1000013447,ALG,Broer 3
1000017983,ALG,Broer 3
CS00049771,ALG,Broer 3
1000013449,ALG,Broer 4
1000017982,ALG,Broer 4
CS00049772,ALG,Broer 4
1000013451,ALG,Broer 5
1000017984,ALG,Broer 5
1000018048,ALG,Broer(s)
1000013442,ALG,Broers
CS00060879,ALG,Broers
CS00060886,ALG,Broers moeder
CS00060883,ALG,Broers vader
CS00033519,ALG,B-Specialist
CS00033980,ALG,B-Specialist
1000017457,ALG,Burgerlijke staat
CS00063002,ALG,BWC Opdrachten verpleging
1000019508,ALG,BZU Medicatie voor thuistoediening
ZH00000574,ALG,BZU Medicatie voor thuistoediening
ZH00000575,ALG,BZU Traject
1000016291,ALG,BZU transfer/vervolgzorg rapportage
1000018605,ALG,BZU Transfer/vervolgzorg rapportage
1000016290,ALG,BZU Voortgang/conclusie
1000017358,ALG,BZU Voortgang/conclusie
1000017332,ALG,BZU Voortgang/conclusie v2
CS00035401,ALG,C - Risicofactoren
CS00056435,ALG,C. Hersenfuncties
1000011883,ALG,CAG (ikv UCORBIO)
CS00004988,ALG,Cannabis
CS00004993,ALG,Cannabis
CS00005001,ALG,Cannabis
1000009382,ALG,CAR Bespreekformulier HTX/LVAD_A
1000008068,ALG,CAR GUCH formulier
1000009589,ALG,CAR Screeningsformulier HTx
1000008242,ALG,Cardiale voorgeschiedenis
1000011571,ALG,Cardiotabel
CS00039732,ALG,Casemanager
LA00003599,ALG,"CBCL 1,5 - 5"
1000007113,ALG,"CBCL 1,5-5 jaar"
1000007115,ALG,CBCL 11-18 jaar zelf
LA00003607,ALG,CBCL 6 - 18
1000007107,ALG,CBCL 6-18 jaar leerkracht
1000007024,ALG,CBCL 6-18 jaar ouders
CS00059700,ALG,CEAP
CS00023128,ALG,Centraal Zenuwstelsel
CS00023137,ALG,Centraal Zenuwstelsel (Tractus anamnese II)
CS00000011,ALG,Centraal zenuwstelsel (uitgebreid)
CS00064522,ALG,Centrale pubertas praecox
CS00064608,ALG,Centrale pubertas praecox
CS00064525,ALG,Centrale pubertas praecox (man)
CS00064524,ALG,Centrale pubertas praecox (vrouw)
CS00064535,ALG,Cerebrovasculair accident waarvoor interventie/opname
1000019366,ALG,Check nuchterbeleid UMC
CS00036184,ALG,Checklist arts
CS00050083,ALG,Checklist bij ontslag
CS00029993,ALG,Checklist naar werklijst
CS00063308,ALG,Checklist palliatieve zorg kind
CS00036182,ALG,Checklist polimedewerker
CS00030080,ALG,Checklist pre-operatief
CS00042706,ALG,Checklist pre-operatief
CS00050113,ALG,Checklist preoperatieve voorlichting
CS00048307,ALG,Checklist screening VPK
1000017579,ALG,Checkmoment: Briefing
1000017585,ALG,Checkmoment: Briefing
CS00060245,ALG,Chemotherapie
1000009670,ALG,CHI - Nabehandeling CMH
CS00037609,ALG,Chirurgische patiënt
CS00029359,ALG,Chirurgische wond
CS00059749,ALG,Chirurgische wond
CS00064511,ALG,Chronische graft-versus-host ziekte (matig of ernstig)
CS00063357,ALG,CL/GV layout
CS00055408,ALG,Classificatie
1000010622,ALG,Classificatie cervicaal letsel
CS00060673,ALG,Classificaties
CS00006655,ALG,Clinical Rating Index
1000011440,ALG,CMH Aanvraag ECG
CS00004986,ALG,Cocaïne
CS00004991,ALG,Cocaïne
CS00004999,ALG,Cocaïne
CS00006271,ALG,Cognitie
CS00001798,ALG,Cognitieve functies
CS00038761,ALG,Coitus bekken
CS00030053,ALG,Colostoma
CS00035805,ALG,Communicatie
CS00061549,ALG,Communicatie
CS00061550,ALG,Communicatie
